,category_id,views,likes,dislikes,comment_count,category
590,23,0.00043849702828689663,0.002492061119802944,0.0001290507673379192,367,Comedy
593,23,0.0006004563140101248,0.00025419379685195145,0.00023290835698835613,1220,Comedy
604,23,0.005855985434735122,0.014929744005292647,0.00065450847339112,4472,Comedy
605,23,0.0001583200423414779,0.00020574200095585418,5.9640992076488544e-05,287,Comedy
606,23,0.0031415267949775946,0.00640400924360512,0.0010694246855094498,1611,Comedy
610,23,0.01008588390608684,0.008367019503807296,0.001304903774914896,3009,Comedy
612,23,0.0007939627755338591,0.006610285639368651,0.00018406444106364568,4784,Comedy
613,23,0.007108638917204257,0.036950372713658614,0.0021074864355304012,19332,Comedy
614,23,0.0007843146584518854,0.0012014976592616767,0.00010180100371676493,1282,Comedy
616,23,0.0028806601761801297,0.004264292433664237,0.004144534802832536,6518,Comedy
619,20,0.001137269445540307,0.002074342511801664,6.221172449357856e-05,255,Gaming
625,23,0.0026320162330512103,0.010879387626301987,0.00023804982182253618,64506,Comedy
629,20,0.001611489946401718,0.0021297414401975695,0.00011876783766955908,576,Gaming
641,23,0.003920883131540429,0.04171129605525785,0.0009486002619062187,11647,Comedy
646,23,0.0004991463736547328,0.00035501628390044795,3.187708197191629e-05,200,Comedy
656,20,0.0005726779339447647,0.002011462056098273,5.707025965939852e-05,1637,Gaming
669,23,0.001542954395958089,0.0037430793645760727,0.001317757437000346,2671,Comedy
670,23,0.0017346801014969668,0.002602502713389636,0.00043805280387214,708,Comedy
671,23,0.0016367856322765508,0.008937040631996676,0.0003377942396056291,2136,Comedy
674,23,0.001408693403390849,0.006220355561366605,0.00031311520840156487,776,Comedy
685,23,0.0043420342774563156,0.01635853758941984,0.0005295708779205448,5441,Comedy
686,23,0.000531831254667786,0.0024250836372406914,5.5527820209144505e-05,1337,Comedy
695,23,0.0027735839783499644,0.0011594586010577098,0.0007151777584344445,3220,Comedy
721,23,0.000173477667688768,0.001234273874132566,4.9358062408128454e-05,1504,Comedy
722,23,0.011158348908961311,0.03130876672900679,0.0036077658741441388,9557,Comedy
726,23,0.0023515565874256557,0.008514690602328857,0.0006761026256946761,1717,Comedy
728,23,0.002976050751734008,0.014083084498328858,0.00042005767695250983,1595,Comedy
729,20,0.0002888098836762374,0.0017592277068744727,3.2391228455334296e-05,1747,Gaming
745,20,0.0010926563260255167,0.00460292061012924,0.00026170056005976437,3708,Gaming
749,23,0.0037572161102497124,0.02101276010108612,0.0010426890683717135,2946,Comedy
753,23,0.0010949859128893038,0.0024199178207664753,0.00010437173613385496,4591,Comedy
