,category_id,views,likes,dislikes,comment_count,country,category
362174,24,0.0005648953707516883,0.002762999287295458,0.00011105564041828901,1196,US,Entertainment
362175,10,0.0002936998961425893,0.001975835735586437,5.7584406142816525e-05,896,US,Music
362176,10,0.0023205888639694283,0.009362062635702882,0.00020668688633403788,2099,US,Music
362177,24,0.020787782186077953,0.0007819977352348051,0.00017326736491186758,544,US,Entertainment
362178,1,0.00832463143915976,0.004171664000333463,0.002076637646525321,4661,US,Film & Animation
362181,24,0.0012067990158590807,0.0030996680161323106,0.00022622445270392206,1242,US,Entertainment
362183,24,0.001912301088997061,0.0033168104396519523,0.00011928198415297709,988,US,Entertainment
362184,24,0.0011222413725464123,0.005710899178047346,0.00011311222635196103,1133,US,Entertainment
362187,25,0.0016642695751751028,0.0025164651493535515,0.0008493699906065437,1049,US,News & Politics
362188,24,0.00972893184002183,0.0137084737381469,0.0011383203142874623,0,US,Entertainment
362190,1,0.0033663071946110367,0.0029769353419690347,0.0005789289403286733,1875,US,Film & Animation
362192,1,0.006712510219472404,0.013401552986937432,0.0028972154340604563,17694,US,Film & Animation
362195,10,0.0022003077480822453,0.009357787477241461,0.0009069543967493603,3486,US,Music
362197,24,0.005913615032520173,0.016741698666524637,0.00032494057752017894,6646,US,Entertainment
362202,24,0.0037180701000482184,0.004156522814115932,0.0003398508255393011,1608,US,Entertainment
362203,10,0.0017952846924154482,0.00940374543070173,0.0005002645283657185,3503,US,Music
362204,10,0.0005195120036085277,0.0009804363404857328,0.00018097956216313766,2730,US,Music
362206,10,0.00667230894646507,0.0537804246550526,0.0013043896284314778,24264,US,Music
362207,24,0.0025038795335535825,0.007163384265314909,0.0005377972216552329,2313,US,Entertainment
362211,24,0.0008347694113561518,0.0007282019912619324,0.00011362637283537904,373,US,Entertainment
362213,24,0.0015176210221259049,0.0030173712157499687,0.00031311520840156487,2257,US,Entertainment
362219,24,0.003329109180705146,0.004208180978858094,0.0006293152957036378,1819,US,Entertainment
362220,24,0.002242991715280108,0.009548744555184903,0.000546537711873339,11423,US,Entertainment
362225,24,0.001300566653749512,0.0007420962562615485,0.0006622206706423901,477,US,Entertainment
362227,24,0.001417064840917542,0.0035090144388133086,8.946148811473281e-05,937,US,Entertainment
362228,10,0.005712848928211614,0.040802646750603466,0.001529071641685146,12436,US,Music
362229,24,0.002585334986876759,0.004969871711401153,0.0002647854389602724,2866,US,Entertainment
362232,24,0.012308088357390282,0.029234602348807686,0.003082308168090938,14213,US,Entertainment
362233,10,0.031391682354965936,0.07247515821203611,0.00373887322741573,64703,US,Music
362236,10,0.0007394542117169763,0.003525936941056431,0.00013881955052286128,2144,US,Music
362240,24,0.010855297688400892,0.00472672207390787,0.0015578638447565542,5181,US,Entertainment
362241,25,0.0020750612438140076,0.003390556923111453,0.015904607318052558,32303,US,News & Politics
362245,24,0.0015983439157780622,0.002227001295194882,0.0004072040148670597,1850,US,Entertainment
362247,24,0.0037974527157170644,0.008380201242396676,0.00022211128083657802,2361,US,Entertainment
362248,24,0.0012008937840415738,0.0054718465674129255,0.0001758380973289576,3893,US,Entertainment
362251,25,0.0011356794848395421,0.0016078158446991688,0.004358933886417843,5842,US,News & Politics
362252,25,0.0009926843081561015,0.0035236212302231615,0.00154860920805503,2233,US,News & Politics
362256,10,0.004417499701057944,0.01114818821456379,0.0008714782893935179,7722,US,Music
362257,24,0.003917535969828152,0.007630089064019963,0.0009033553713654343,2709,US,Entertainment
362260,24,0.00737065972969561,0.012167813507612544,0.00371830736807901,10753,US,Entertainment
362263,24,0.0017592432277007805,0.001288425881310557,0.00030231813224978674,639,US,Entertainment
362264,10,0.012648839312788835,0.04779057138739758,0.002513148010947207,14607,US,Music
362266,24,0.0015531277889456487,0.0003534130994774153,0.00018046541567971964,238,US,Entertainment
362269,10,0.009883713925366938,0.02690357219771824,0.001987690304894006,10069,US,Music
362271,24,0.002527008161880706,0.00952362799922406,0.000776875336444605,3916,US,Entertainment
362272,10,0.02140530643377362,0.0867666566853592,0.0023445079643861014,27220,US,Music
362276,24,0.008925514098187422,0.0010719959842011518,0.0010719954179265398,1998,US,Entertainment
362277,24,0.0032325597004627103,0.0028793192237666033,0.0009732792931102829,1839,US,Entertainment
362278,1,0.0002825442607665573,0.0017610090229000645,4.37024510905304e-05,615,US,Film & Animation
362279,10,0.016894298199532035,0.025438083503463858,0.002220084515398944,5021,US,Music
362280,25,0.0015365945531550303,0.0007517153627997443,0.00017840882974604763,956,US,News & Politics
362282,24,0.0026013264582804498,0.003748423312652848,0.000988189541129405,2003,US,Entertainment
362283,10,0.0009059808067717345,0.0010978250665722332,0.00024062055423962618,531,US,Music
362284,10,0.00046998767215137546,0.0012556496664396677,6.0669285043324554e-05,299,US,Music
362285,24,0.002294426355075512,0.008969994978470125,0.0009362607463041866,6969,US,Entertainment
362286,10,0.0013263240171019,0.006244581459314653,0.0002735259291783785,1571,US,Music
362288,1,0.012200694167419965,0.002169642919170826,0.0014118462434658408,1672,US,Film & Animation
362291,24,0.00468156272973828,0.0060436490116278965,0.0007974411957813253,2222,US,Entertainment
362294,1,0.0022016032716162016,0.0023367303623713378,0.0003074595970839668,1052,US,Film & Animation
362295,24,0.0005872443294611038,0.0020592013255841335,5.7584406142816525e-05,2052,US,Entertainment
362297,10,0.0018118414831794112,0.0014811642752795909,0.0003825249836629955,346,US,Music
362301,24,0.007390768610439948,0.01626216839243532,0.0011871642302121728,7574,US,Entertainment
362304,24,0.012162198274482783,0.007253696987812414,0.0008102948578667754,3924,US,Entertainment
362305,10,0.005400144879574551,0.013631699017443894,0.0005794430868120913,3988,US,Music
362308,24,0.0022486967298241847,0.0045197331517341024,0.00032082740565283493,2021,US,Entertainment
362309,24,0.0009501346043063037,0.00462910595570544,0.00018406444106364568,1477,US,Entertainment
362310,24,0.0008341852480172042,0.0018083920291808067,6.324001746041458e-05,587,US,Entertainment
362316,10,0.00823359146718264,0.03207900777847269,0.0015748306787093484,12892,US,Music
362321,24,0.0014841611824898122,0.0017848786576429947,0.0003090020365342208,5370,US,Entertainment
